t,pos,vel,acc,robot
4.3,-0.891393531,1.237558073,5.002207068,0.148349903
4.31,-0.878762263,1.288695533,5.113745954,0.150849903
4.32,-0.865613887,1.340979712,5.228417957,0.153349903
4.33,-0.851936779,1.394441835,5.346212296,0.155849903
4.34,-0.837719006,1.449112911,5.467107564,0.158349903
4.35,-0.822948323,1.505023617,5.591070621,0.160849903
4.36,-0.807612184,1.562204171,5.718055415,0.163349903
4.37,-0.791697742,1.620684188,5.848001708,0.165849903
4.38,-0.775191859,1.680492525,5.980833708,0.168349903
4.39,-0.75808111,1.741657112,6.116458617,0.170849903
4.4,-0.740351801,1.804204762,6.254765077,0.173349903
4.41,-0.721989972,1.868160978,6.395621517,0.175849903
4.42,-0.702981419,1.933549722,6.538874412,0.178349903
4.43,-0.683311726,2.000388803,6.683908159,0.180820281
4.44,-0.662966371,2.06868221,6.829340684,0.183182153
4.45,-0.641930842,2.138423661,6.974145055,0.185383853
4.46,-0.620190708,2.209603157,7.117949663,0.187420537
4.47,-0.597731659,2.282206611,7.260345329,0.189287284
4.48,-0.574539549,2.356215445,7.400883431,0.190979101
4.49,-0.55060044,2.431606186,7.539074091,0.192490929
4.5,-0.525900659,2.508350031,7.674384491,0.193817643
4.51,-0.500426847,2.586412404,7.806237357,0.194954063
4.52,-0.474166023,2.665752501,7.934009668,0.195894954
4.53,-0.447105646,2.746322818,8.057031662,0.196635035
4.54,-0.419233689,2.828068679,8.174586186,0.197168987
